,lap,timestamp,heart_rate,cadence,position_lat,position_long,distance,enhanced_altitude,enhanced_speed,calories,power,temperature,fractional_cadence
0,1,2021-04-03 19:56:55+00:00,86,61,-442663322,2087262115,1.56,16.600000000000023,1.269,,,21,0.0
1,1,2021-04-03 19:56:56+00:00,85,61,-442663340,2087261892,3.23,16.600000000000023,1.446,,,21,0.5
2,1,2021-04-03 19:56:57+00:00,85,62,-442663339,2087261605,5.37,16.600000000000023,1.446,,,21,0.5
3,1,2021-04-03 19:56:58+00:00,85,62,-442663338,2087261268,7.88,16.600000000000023,1.512,,,21,0.5
4,1,2021-04-03 19:56:59+00:00,85,62,-442663310,2087260914,10.53,16.600000000000023,1.577,,,21,0.5
5,1,2021-04-03 19:57:00+00:00,86,0,-442663314,2087260517,13.48,16.600000000000023,1.903,,,21,0.0
6,1,2021-04-03 19:57:01+00:00,87,0,-442663312,2087260125,16.4,16.600000000000023,2.071,,,21,0.0
7,1,2021-04-03 19:57:02+00:00,90,91,-442663356,2087259771,19.07,16.799999999999955,2.51,,,21,0.5
8,1,2021-04-03 19:57:03+00:00,92,91,-442663479,2087259422,21.91,16.799999999999955,2.547,,,21,0.5
9,1,2021-04-03 19:57:04+00:00,92,90,-442663651,2087259097,24.81,17.0,2.547,,,21,0.0
10,1,2021-04-03 19:57:05+00:00,95,90,-442663854,2087258856,27.42,17.0,2.51,,,21,0.0
11,1,2021-04-03 19:57:06+00:00,95,90,-442664096,2087258687,29.99,17.0,2.51,,,19,0.0
12,1,2021-04-03 19:57:07+00:00,96,91,-442664410,2087258573,33.02,17.0,2.51,,,19,0.5
13,1,2021-04-03 19:57:08+00:00,97,91,-442664755,2087258486,36.3,17.200000000000045,2.519,,,19,0.5
14,1,2021-04-03 19:57:09+00:00,98,91,-442665082,2087258415,39.37,17.0,2.529,,,19,0.5
15,1,2021-04-03 19:57:10+00:00,98,91,-442665390,2087258355,42.25,17.0,2.547,,,19,0.5
16,1,2021-04-03 19:57:11+00:00,98,90,-442665687,2087258268,45.08,16.799999999999955,2.566,,,19,0.5
17,1,2021-04-03 19:57:12+00:00,98,90,-442665984,2087258199,47.88,16.799999999999955,2.585,,,19,0.5
18,1,2021-04-03 19:57:13+00:00,99,90,-442666296,2087258098,50.88,16.600000000000023,2.594,,,19,0.0
19,1,2021-04-03 19:57:14+00:00,100,90,-442666622,2087257995,54.0,16.799999999999955,2.594,,,19,0.0
20,1,2021-04-03 19:57:15+00:00,101,90,-442666977,2087257887,57.39,16.600000000000023,2.594,,,19,0.0
21,1,2021-04-03 19:57:16+00:00,102,90,-442667319,2087257788,60.66,16.799999999999955,2.603,,,19,0.0
22,1,2021-04-03 19:57:17+00:00,103,90,-442667678,2087257701,64.06,16.399999999999977,2.613,,,19,0.0
23,1,2021-04-03 19:57:18+00:00,103,90,-442668017,2087257639,67.25,16.799999999999955,2.631,,,19,0.0
24,1,2021-04-03 19:57:19+00:00,103,91,-442668345,2087257549,70.36,16.200000000000045,2.65,,,19,0.5
25,1,2021-04-03 19:57:20+00:00,102,91,-442668698,2087257437,73.74,16.600000000000023,2.659,,,19,0.5
26,1,2021-04-03 19:57:21+00:00,103,90,-442669056,2087257281,77.27,16.200000000000045,2.678,,,19,0.0
27,1,2021-04-03 19:57:22+00:00,104,90,-442669376,2087257100,80.53,16.600000000000023,2.697,,,19,0.0
28,1,2021-04-03 19:57:23+00:00,105,91,-442669721,2087256906,84.04,16.200000000000045,2.725,,,19,0.5
29,1,2021-04-03 19:57:24+00:00,105,91,-442670062,2087256689,87.59,16.600000000000023,2.743,,,19,0.5
30,1,2021-04-03 19:57:25+00:00,105,91,-442670386,2087256465,91.03,16.200000000000045,2.781,,,19,0.5
31,1,2021-04-03 19:57:26+00:00,107,90,-442670675,2087256239,94.16,16.600000000000023,2.818,,,19,0.0
32,1,2021-04-03 19:57:27+00:00,108,90,-442670981,2087256037,97.37,16.200000000000045,2.846,,,19,0.0
33,1,2021-04-03 19:57:28+00:00,109,90,-442671266,2087255851,100.37,16.399999999999977,2.855,,,19,0.0
34,1,2021-04-03 19:57:29+00:00,109,90,-442671534,2087255667,103.21,16.200000000000045,2.865,,,19,0.0
35,1,2021-04-03 19:57:30+00:00,110,90,-442671758,2087255495,105.66,16.399999999999977,2.874,,,19,0.0
36,1,2021-04-03 19:57:31+00:00,110,90,-442672003,2087255310,108.31,16.0,2.874,,,19,0.0
37,1,2021-04-03 19:57:32+00:00,111,90,-442672231,2087255109,110.9,16.200000000000045,2.846,,,19,0.0
38,1,2021-04-03 19:57:33+00:00,111,90,-442672483,2087254929,113.59,15.799999999999955,2.846,,,19,0.0
39,1,2021-04-03 19:57:34+00:00,111,90,-442672779,2087254735,116.71,15.799999999999955,2.855,,,19,0.0
40,1,2021-04-03 19:57:35+00:00,112,91,-442673045,2087254521,119.64,15.600000000000023,2.855,,,19,0.5
41,1,2021-04-03 19:57:36+00:00,113,91,-442673283,2087254285,122.45,15.799999999999955,2.837,,,19,0.5
42,1,2021-04-03 19:57:37+00:00,113,91,-442673500,2087254074,124.99,15.600000000000023,2.799,,,19,0.5
43,1,2021-04-03 19:57:38+00:00,113,91,-442673795,2087253863,128.15,15.600000000000023,2.781,,,19,0.5
44,1,2021-04-03 19:57:39+00:00,113,91,-442674035,2087253633,130.96,15.600000000000023,2.762,,,19,0.5
45,1,2021-04-03 19:57:40+00:00,113,91,-442674267,2087253424,133.61,15.600000000000023,2.734,,,19,0.5
46,1,2021-04-03 19:57:41+00:00,113,91,-442674552,2087253179,136.82,15.600000000000023,2.706,,,19,0.5
47,1,2021-04-03 19:57:42+00:00,113,91,-442674903,2087252955,140.48,15.399999999999977,2.669,,,19,0.5
48,1,2021-04-03 19:57:43+00:00,113,91,-442675194,2087252744,143.61,15.200000000000045,2.669,,,19,0.5
49,1,2021-04-03 19:57:44+00:00,112,91,-442675476,2087252521,146.71,15.0,2.697,,,19,0.5
50,1,2021-04-03 19:57:45+00:00,112,91,-442675753,2087252290,149.81,15.0,2.706,,,19,0.5
51,1,2021-04-03 19:57:46+00:00,111,91,-442676024,2087252033,152.97,14.600000000000023,2.706,,,19,0.5
52,1,2021-04-03 19:57:47+00:00,111,91,-442676318,2087251709,156.62,14.600000000000023,2.715,,,19,0.5
53,1,2021-04-03 19:57:48+00:00,110,90,-442676542,2087251431,159.55,14.399999999999977,2.715,,,19,0.0
54,1,2021-04-03 19:57:49+00:00,110,90,-442676718,2087251220,161.81,14.399999999999977,2.734,,,19,0.0
55,1,2021-04-03 19:57:50+00:00,109,92,-442676898,2087250961,164.36,14.399999999999977,2.762,,,19,0.5
56,1,2021-04-03 19:57:51+00:00,109,92,-442677136,2087250690,167.36,14.399999999999977,2.762,,,19,0.5
57,1,2021-04-03 19:57:52+00:00,109,91,-442677458,2087250427,170.87,13.600000000000023,2.781,,,19,0.5
58,1,2021-04-03 19:57:53+00:00,109,91,-442677671,2087250155,173.7,14.200000000000045,2.818,,,19,0.5
59,1,2021-04-03 19:57:54+00:00,109,91,-442677858,2087249881,176.39,13.600000000000023,2.865,,,19,0.5
60,1,2021-04-03 19:57:55+00:00,110,91,-442678039,2087249624,178.94,14.200000000000045,2.883,,,19,0.5
61,1,2021-04-03 19:57:56+00:00,110,91,-442678242,2087249318,181.9,13.600000000000023,2.883,,,19,0.5
62,1,2021-04-03 19:57:57+00:00,111,91,-442678450,2087249024,184.81,14.200000000000045,2.883,,,19,0.5
63,1,2021-04-03 19:57:58+00:00,112,91,-442678636,2087248713,187.7,14.0,2.883,,,19,0.5
64,1,2021-04-03 19:57:59+00:00,113,91,-442678806,2087248396,190.53,14.0,2.893,,,19,0.5
65,1,2021-04-03 19:58:00+00:00,113,91,-442679010,2087248117,193.34,14.0,2.893,,,19,0.5
66,1,2021-04-03 19:58:01+00:00,113,91,-442679221,2087247809,196.36,14.0,2.893,,,19,0.5
67,1,2021-04-03 19:58:02+00:00,113,91,-442679421,2087247513,199.24,13.799999999999955,2.893,,,19,0.5
68,1,2021-04-03 19:58:03+00:00,114,91,-442679621,2087247211,202.17,13.799999999999955,2.893,,,19,0.5
69,1,2021-04-03 19:58:04+00:00,114,91,-442679853,2087246927,205.17,13.600000000000023,2.902,,,19,0.5
70,1,2021-04-03 19:58:05+00:00,114,91,-442680082,2087246662,208.07,13.600000000000023,2.911,,,19,0.5
71,1,2021-04-03 19:58:06+00:00,115,91,-442680289,2087246391,210.85,13.600000000000023,2.911,,,18,0.5
72,1,2021-04-03 19:58:07+00:00,115,91,-442680526,2087246090,213.99,13.399999999999977,2.911,,,18,0.5
73,1,2021-04-03 19:58:08+00:00,115,91,-442680738,2087245809,216.87,13.399999999999977,2.921,,,18,0.5
74,1,2021-04-03 19:58:09+00:00,116,91,-442680908,2087245505,219.62,13.399999999999977,2.921,,,18,0.5
75,1,2021-04-03 19:58:10+00:00,116,91,-442681108,2087245199,222.56,13.399999999999977,2.921,,,18,0.5
76,1,2021-04-03 19:58:11+00:00,116,91,-442681332,2087244872,225.76,13.399999999999977,2.921,,,18,0.5
77,1,2021-04-03 19:58:12+00:00,116,90,-442681546,2087244580,228.7,13.399999999999977,2.93,,,18,0.0
78,1,2021-04-03 19:58:13+00:00,116,90,-442681746,2087244257,231.74,13.399999999999977,2.921,,,18,0.0
79,1,2021-04-03 19:58:14+00:00,116,91,-442681938,2087243969,234.53,13.399999999999977,2.93,,,18,0.5
80,1,2021-04-03 19:58:15+00:00,116,91,-442682123,2087243691,237.22,13.399999999999977,2.921,,,18,0.5
81,1,2021-04-03 19:58:16+00:00,116,90,-442682294,2087243434,239.71,13.399999999999977,2.921,,,18,0.0
82,1,2021-04-03 19:58:17+00:00,116,90,-442682503,2087243162,242.51,13.399999999999977,2.921,,,18,0.0
83,1,2021-04-03 19:58:18+00:00,116,91,-442682724,2087242901,245.34,13.399999999999977,2.921,,,18,0.5
